Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dressed_weight,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,gonad_weight,Instrument,lat_lon,Length,Library Name,LibraryLayout,LibrarySelection,LibrarySource,liver_weight,maturity,Organism,Platform,ReleaseDate,Sample Name,sex,ship,SRA Study,Station,store_cond,Strain,tissue,triP,weight
SRR16894136,not collected,WGS,125,3926838500,PRJNA779096,SAMN23011854,Model organism or animal,1826266704,CORNELL UNIVERSITY,2010-05-12,public,"fastq,sra",ncbi,ncbi.public,2.97,SRX13086779,Greenland,North America,Greenland: Uummannaq,0.0685,Illumina HiSeq 2500,not collected,76,UUM2010_030_14247X187_6_se,SINGLE,RANDOM,GENOMIC,0.2804,8,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,UUM2010_030,female,not collected,SRP345309,not collected,not collected,not applicable,fin clips,not collected,3.5
SRR16894137,7,WGS,125,198924750,PRJNA779096,SAMN23011713,Model organism or animal,90982149,CORNELL UNIVERSITY,2011-04-02,public,"fastq,sra",ncbi,ncbi.public,4.13,SRX13086778,Greenland,North America,Greenland: Atlantic Peace,0.215,Illumina HiSeq 2500,64.43 N 35.23 W,81,ATP2011_118_14247X184_6_se,SINGLE,RANDOM,GENOMIC,0.345,4,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,ATP2011_118,female,not collected,SRP345309,not collected,96% Ethanol,not applicable,fin clips,not collected,4.98
SRR16894138,not collected,WGS,125,2725028750,PRJNA779096,SAMN23011853,Model organism or animal,1278803089,CORNELL UNIVERSITY,2010-05-12,public,"fastq,sra",ncbi,ncbi.public,4.32,SRX13086777,Greenland,North America,Greenland: Uummannaq,0.0579,Illumina HiSeq 2500,not collected,81,UUM2010_026_14247X182_6_se,SINGLE,RANDOM,GENOMIC,0.3373,8,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,UUM2010_026,male,not collected,SRP345309,not collected,not collected,not applicable,fin clips,not collected,4.9
SRR16894139,not collected,WGS,302,851955892,PRJNA779096,SAMN23011781,Model organism or animal,395334091,CORNELL UNIVERSITY,2011-05-15,public,"fastq,sra",ncbi,ncbi.public,1.996,SRX13086776,Greenland,North America,"Greenland: 1C\, Kangia",0.298,NextSeq 500,65.29 N 52.02 W,63,KNG2011_383_55100_7_pe,PAIRED,RANDOM,GENOMIC,0.082,7,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,KNG2011_383,female,AJ,SRP345309,8,not collected,not applicable,fin clips,4,2.51
SRR16894140,8,WGS,125,723447375,PRJNA779096,SAMN23011719,Model organism or animal,371423599,CORNELL UNIVERSITY,2011-04-03,public,"fastq,sra",ncbi,ncbi.public,4.885,SRX13086775,Greenland,North America,Greenland: Atlantic Peace,0.6,Illumina HiSeq 2500,64.38 N 35.27 W,85,ATP2011_129_14247X177_5_se,SINGLE,RANDOM,GENOMIC,0.375,5,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,ATP2011_129,male,not collected,SRP345309,not collected,96% Ethanol,not applicable,fin clips,not collected,6.105
SRR16894141,6,WGS,125,1617417375,PRJNA779096,SAMN23011718,Model organism or animal,830614992,CORNELL UNIVERSITY,2011-04-03,public,"fastq,sra",ncbi,ncbi.public,2.785,SRX13086774,Greenland,North America,Greenland: Atlantic Peace,0.235,Illumina HiSeq 2500,64.38 N 35.27 W,69,ATP2011_127_14247X172_5_se,SINGLE,RANDOM,GENOMIC,0.345,4,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,ATP2011_127,female,not collected,SRP345309,not collected,96% Ethanol,not applicable,fin clips,not collected,3.58
SRR16894142,not collected,WGS,125,1163255750,PRJNA779096,SAMN23011799,Model organism or animal,611227815,CORNELL UNIVERSITY,2011-05-15,public,"fastq,sra",ncbi,ncbi.public,1.154,SRX13086773,Greenland,North America,"Greenland: 1C\, Kangia",0.128,Illumina HiSeq 2500,65.29 N 52.02 W,53,KNG2011_431_14247X154_5_se,SINGLE,RANDOM,GENOMIC,0.032,6,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,KNG2011_431,male,AJ,SRP345309,8,not collected,not applicable,fin clips,4,1.4
SRR16894143,not collected,WGS,125,1434369250,PRJNA779096,SAMN23011798,Model organism or animal,742086377,CORNELL UNIVERSITY,2011-05-15,public,"fastq,sra",ncbi,ncbi.public,2.096,SRX13086772,Greenland,North America,"Greenland: 1C\, Kangia",0.254,Illumina HiSeq 2500,65.29 N 52.02 W,65,KNG2011_429_14247X153_5_se,SINGLE,RANDOM,GENOMIC,0.038,6,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,KNG2011_429,male,AJ,SRP345309,8,not collected,not applicable,fin clips,4,2.538
SRR16894144,not collected,WGS,125,835594500,PRJNA779096,SAMN23011797,Model organism or animal,479057099,CORNELL UNIVERSITY,2011-05-15,public,"fastq,sra",ncbi,ncbi.public,2.334,SRX13086771,Greenland,North America,"Greenland: 1C\, Kangia",0.352,Illumina HiSeq 2500,65.29 N 52.02 W,68,KNG2011_427_14247X152_5_se,SINGLE,RANDOM,GENOMIC,0.052,6,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,KNG2011_427,male,AJ,SRP345309,8,not collected,not applicable,fin clips,4,2.926
SRR16894145,not collected,WGS,125,1274308250,PRJNA779096,SAMN23011796,Model organism or animal,660931210,CORNELL UNIVERSITY,2011-05-15,public,"fastq,sra",ncbi,ncbi.public,0.624,SRX13086770,Greenland,North America,"Greenland: 1C\, Kangia",0.036,Illumina HiSeq 2500,65.29 N 52.02 W,43,KNG2011_423_14247X151_5_se,SINGLE,RANDOM,GENOMIC,0.02,6,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,KNG2011_423,male,AJ,SRP345309,8,not collected,not applicable,fin clips,4,0.748
SRR16894146,not collected,WGS,125,1857214500,PRJNA779096,SAMN23011870,Model organism or animal,974621442,CORNELL UNIVERSITY,2010-05-12,public,"fastq,sra",ncbi,ncbi.public,3.08,SRX13086769,Greenland,North America,Greenland: Uummannaq,0.0892,Illumina HiSeq 2500,not collected,72,UUM2010_095_14247X150_5_se,SINGLE,RANDOM,GENOMIC,0.214,7,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,UUM2010_095,female,not collected,SRP345309,not collected,not collected,not applicable,fin clips,not collected,3.69
